name;offset;size;description;bitfield
..efnfsid;9632;16;;1
.....port2.cfg.res;9888;16;;0
.cr;9888;1;;1
..mcr;9889;1;;1
..enr;9890;1;;1
..menr;9891;1;;1
..fuf;9892;1;;1
..nfemr;9893;1;;1
..femr;9894;1;;1
..aemn;9899;5;;1
...ces;9904;16;;0
.re;9904;1;;1
..bt;9910;1;;1
..bd;9911;1;;1
..rnr;9912;1;;1
..rtt;9916;1;;1
..anfes;9917;1;;1
...ues;9920;32;;0
.te;9920;1;;1
..dlpe;9924;1;;1
..sde;9925;1;;1
..pt;9932;1;;1
..fcpe;9933;1;;1
..ct;9934;1;;1
..ca;9935;1;;1
..uc;9936;1;;1
..ro;9937;1;;1
..mt;9938;1;;1
..ee;9939;1;;1
..ure;9940;1;;1
..avs;9941;1;;1
..ptlpebs;9946;1;;1
...esid;9952;32;;0
.ecsid;9952;16;;1
..efnfsid;9968;16;;1
.....port3.cfg.res;10224;16;;0
.cr;10224;1;;1
..mcr;10225;1;;1
..enr;10226;1;;1
..menr;10227;1;;1
..fuf;10228;1;;1
..nfemr;10229;1;;1
..femr;10230;1;;1
..aemn;10235;5;;1
...ces;10240;16;;0
.re;10240;1;;1
..bt;10246;1;;1
..bd;10247;1;;1
..rnr;10248;1;;1
..rtt;10252;1;;1
..anfes;10253;1;;1
...ues;10256;32;;0
.te;10256;1;;1
..dlpe;10260;1;;1
..sde;10261;1;;1
..pt;10268;1;;1
..fcpe;10269;1;;1
..ct;10270;1;;1
..ca;10271;1;;1
..uc;10272;1;;1
..ro;10273;1;;1
..mt;10274;1;;1
..ee;10275;1;;1
..ure;10276;1;;1
..avs;10277;1;;1
..ptlpebs;10282;1;;1
...esid;10288;32;;0
.ecsid;10288;16;;1
..efnfsid;10304;16;;1
